tables,as,as_label,Pull Request/Issue,parents_as,parents_as_label,references
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-fourth-cervical-vertebra,inferior articular facet of fourth cervical vertebra,,UBERON:0004626,thoracic vertebra 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-fourth-thoracic-vertebra,inferior articular facet of fourth thoracic vertebra,,UBERON:0004613,mammalian cervical vertebra 4,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-ninth-thoracic-vertebra,inferior articular facet of ninth thoracic vertebra,,UBERON:0004629,thoracic vertebra 4,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-second-cervical-vertebra,inferior articular facet of second cervical vertebra,,UBERON:0004633,thoracic vertebra 9,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-second-thoracic-vertebra,inferior articular facet of second thoracic vertebra,,UBERON:0001093,vertebral bone 2,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-seventh-cervical-vertebra,inferior articular facet of seventh cervical vertebra,,UBERON:0004627,thoracic vertebra 2,"ISBN:9780323393225, https://fipat.library.dal.ca/ta2/"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-seventh-thoracic-vertebra,inferior articular facet of seventh thoracic vertebra,,UBERON:0004616,mammalian cervical vertebra 7,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-sixth-cervical-vertebra,inferior articular facet of sixth cervical vertebra,,UBERON:0004632,thoracic vertebra 7,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-sixth-thoracic-vertebra,inferior articular facet of sixth thoracic vertebra,,UBERON:0004615,mammalian cervical vertebra 6,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-tenth-thoracic-vertebra,inferior articular facet of tenth thoracic vertebra,,UBERON:0004631,thoracic vertebra 6,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-third-cervical-vertebra,inferior articular facet of third cervical vertebra,,UBERON:0004634,thoracic vertebra 10,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-third-thoracic-vertebra,inferior articular facet of third thoracic vertebra,,UBERON:0004612,mammalian cervical vertebra 3,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
